size,guard,active_px,n_channels,throughput,band_avg_crosstalk,xtalk_limited_bits,device_limited_bits,usable_bits,total_encoded_bits
3,0,3,640,1.0,0.2036070118606504,2.296140848786143,8.348503870527681,2.296140848786143,1469.5301432231315
3,1,1,640,0.3333333333333333,0.10121715458389294,3.3044742718932865,8.348503870527681,3.3044742718932865,2114.8635340117035
4,0,4,480,1.0,0.14625521588366214,2.773440018599448,8.348503870527681,2.773440018599448,1331.2512089277352
4,1,2,480,0.5,0.0473505493845177,4.4004750251218,8.348503870527681,4.4004750251218,2112.2280120584637
5,0,5,384,1.0,0.11373687998473853,3.1362279607640176,8.348503870527681,3.1362279607640176,1204.3115369333827
5,1,3,384,0.6,0.02905224355310526,5.105206610036261,8.348503870527681,5.105206610036261,1960.3993382539243
5,2,1,384,0.2,0.006229960292907964,7.326561316502268,8.348503870527681,7.326561316502268,2813.399545536871
6,0,6,320,1.0,0.0928700618843254,3.4286425935113423,8.348503870527681,3.4286425935113423,1097.1656299236295
6,1,4,320,0.6666666666666666,0.020900625984316898,5.58031003737549,8.348503870527681,5.58031003737549,1785.6992119601568
6,2,2,320,0.3333333333333333,0.0025976268167777366,8.588590101087847,8.348503870527681,8.348503870527681,2671.521238568858
7,0,7,274,1.0,0.07843366652197487,3.672383146420131,8.348503870527681,3.672383146420131,1006.232982119116
7,1,5,274,0.7142857142857143,0.016260287100541535,5.942503459122496,8.348503870527681,5.942503459122496,1628.245947799564
7,2,3,274,0.42857142857142855,0.0015767466488158396,9.308833417723466,8.348503870527681,8.348503870527681,2287.490060524585
8,0,8,240,1.0,0.06787664777753417,3.880940873482082,8.348503870527681,3.880940873482082,931.4258096356997
8,1,6,240,0.75,0.0132774190420163,6.234881457032948,8.348503870527681,6.234881457032948,1496.3715496879076
8,2,4,240,0.5,0.0011343792097190468,9.783881287654394,8.348503870527681,8.348503870527681,2003.6409289266435
9,0,9,213,1.0,0.05982397030382693,4.063132529608895,8.348503870527681,4.063132529608895,865.4472288066946
9,1,7,213,0.7777777777777778,0.011213488499300414,6.478621021559564,8.348503870527681,6.478621021559564,1379.9462775921872
9,2,5,213,0.5555555555555556,0.0008825629618667281,10.146013175916057,8.348503870527681,8.348503870527681,1778.231324422396
10,0,10,192,1.0,0.05347931819142229,4.224875117165525,8.348503870527681,4.224875117165525,811.1760224957809
10,1,8,192,0.8,0.009704174875951994,6.687178735605616,8.348503870527681,6.687178735605616,1283.9383172362782
10,2,6,192,0.6,0.0007206625160850861,10.438388571340338,8.348503870527681,8.348503870527681,1602.9127431413149
11,0,11,174,1.0,0.04835139295086037,4.370298737004337,8.348503870527681,4.370298737004337,760.4319802387546
11,1,9,174,0.8181818181818182,0.008552901309098476,6.869370391653919,8.348503870527681,6.869370391653919,1195.270448147782
11,2,7,174,0.6363636363636364,0.0006086379478899934,10.68212809248308,8.348503870527681,8.348503870527681,1452.6396734718164
12,0,12,160,1.0,0.0441208180902378,4.502396648079635,8.348503870527681,4.502396648079635,720.3834636927417
12,1,10,160,0.8333333333333334,0.007645820366755316,7.0311129792103735,8.348503870527681,7.0311129792103735,1124.9780766736599
12,2,8,160,0.6666666666666666,0.000526716470444531,10.890685806222141,8.348503870527681,8.348503870527681,1335.760619284429
