trial,tgt_index,ref_index,phi_xt_deg,phi_wt_deg,x_t,w_t,x_r,w_r,voltage_mean_v,voltage_std_v
0,1,0,90,90,0.5,0.5,1,1,0.00800850026,0.000387553271
0,1,0,90,135,0.5,0.853553,1,1,0.00908323814,0.000397153796
0,1,0,90,180,0.5,1,1,1,0.00884175184,0.000503028721
0,1,0,135,90,0.853553,0.5,1,1,0.0102584052,0.00047322411
0,1,0,135,135,0.853553,0.853553,1,1,0.0114065192,0.000626810969
0,1,0,135,180,0.853553,1,1,1,0.0113091783,0.000464671613
0,1,0,180,90,1,0.5,1,1,0.0103936402,0.00037051382
0,1,0,180,135,1,0.853553,1,1,0.0120693443,0.000623676971
0,1,0,180,180,1,1,1,1,0.0125226261,0.000531592449
1,1,0,90,90,0.5,0.5,1,1,0.0084487857,0.00040003467
1,1,0,90,135,0.5,0.853553,1,1,0.00914207369,0.000378987834
1,1,0,90,180,0.5,1,1,1,0.00917655796,0.00048650685
1,1,0,135,90,0.853553,0.5,1,1,0.010474318,0.00069356328
1,1,0,135,135,0.853553,0.853553,1,1,0.0109332611,0.00053986707
1,1,0,135,180,0.853553,1,1,1,0.0118381517,0.000730373145
1,1,0,180,90,1,0.5,1,1,0.0107610006,0.000573057837
1,1,0,180,135,1,0.853553,1,1,0.0119791126,0.000521869756
1,1,0,180,180,1,1,1,1,0.0121232904,0.000960309771
2,1,0,90,90,0.5,0.5,1,1,0.00829254501,0.000448159085
2,1,0,90,135,0.5,0.853553,1,1,0.00913740932,0.000492272907
2,1,0,90,180,0.5,1,1,1,0.00943917877,0.000453200297
2,1,0,135,90,0.853553,0.5,1,1,0.0111438018,0.000422739981
2,1,0,135,135,0.853553,0.853553,1,1,0.0113500641,0.000579958524
2,1,0,135,180,0.853553,1,1,1,0.0116904676,0.000552328009
2,1,0,180,90,1,0.5,1,1,0.0115054363,0.000614042726
2,1,0,180,135,1,0.853553,1,1,0.011741036,0.000627916686
2,1,0,180,180,1,1,1,1,0.0126300035,0.000616045481
3,1,0,90,90,0.5,0.5,1,1,0.00811375445,0.000444561263
3,1,0,90,135,0.5,0.853553,1,1,0.0086952259,0.000466423315
3,1,0,90,180,0.5,1,1,1,0.00895405084,0.000349997897
3,1,0,135,90,0.853553,0.5,1,1,0.0108609793,0.000591396576
3,1,0,135,135,0.853553,0.853553,1,1,0.01139674,0.000343655619
3,1,0,135,180,0.853553,1,1,1,0.0116451105,0.000468692533
3,1,0,180,90,1,0.5,1,1,0.0112472868,0.000483255878
3,1,0,180,135,1,0.853553,1,1,0.0115595432,0.000377461405
3,1,0,180,180,1,1,1,1,0.0119941673,0.000522880446
4,1,0,90,90,0.5,0.5,1,1,0.00824522567,0.000562266439
4,1,0,90,135,0.5,0.853553,1,1,0.00912907777,0.000494744882
4,1,0,90,180,0.5,1,1,1,0.00938870694,0.000483098687
4,1,0,135,90,0.853553,0.5,1,1,0.0106485729,0.000524214898
4,1,0,135,135,0.853553,0.853553,1,1,0.0109323604,0.000534921726
4,1,0,135,180,0.853553,1,1,1,0.0121764322,0.000627354229
4,1,0,180,90,1,0.5,1,1,0.0106441015,0.000496132921
4,1,0,180,135,1,0.853553,1,1,0.0117140469,0.00063348014
4,1,0,180,180,1,1,1,1,0.0122305069,0.000422728476
5,1,0,90,90,0.5,0.5,1,1,0.00781455854,0.000669067226
5,1,0,90,135,0.5,0.853553,1,1,0.00897898117,0.000460116432
5,1,0,90,180,0.5,1,1,1,0.00898396723,0.000436584322
5,1,0,135,90,0.853553,0.5,1,1,0.0105633272,0.000345596815
5,1,0,135,135,0.853553,0.853553,1,1,0.0112818997,0.00062027733
5,1,0,135,180,0.853553,1,1,1,0.0119086,0.000704913083
5,1,0,180,90,1,0.5,1,1,0.0109452599,0.000592516711
5,1,0,180,135,1,0.853553,1,1,0.0123943394,0.000610190733
5,1,0,180,180,1,1,1,1,0.0124076892,0.000506452894
6,1,0,90,90,0.5,0.5,1,1,0.00832957055,0.000441371157
6,1,0,90,135,0.5,0.853553,1,1,0.00870198121,0.000401586474
6,1,0,90,180,0.5,1,1,1,0.00963939338,0.000534501861
6,1,0,135,90,0.853553,0.5,1,1,0.0106188495,0.000524750099
6,1,0,135,135,0.853553,0.853553,1,1,0.0116939739,0.00047605941
6,1,0,135,180,0.853553,1,1,1,0.0117425157,0.000450543792
6,1,0,180,90,1,0.5,1,1,0.0113860924,0.000565084112
6,1,0,180,135,1,0.853553,1,1,0.0115208449,0.000687386689
6,1,0,180,180,1,1,1,1,0.0122424091,0.00044845907
7,1,0,90,90,0.5,0.5,1,1,0.00809017519,0.000432741363
7,1,0,90,135,0.5,0.853553,1,1,0.00887607525,0.00042017532
7,1,0,90,180,0.5,1,1,1,0.00884274905,0.000470598192
7,1,0,135,90,0.853553,0.5,1,1,0.0105305801,0.000450041307
7,1,0,135,135,0.853553,0.853553,1,1,0.0118678107,0.000489490154
7,1,0,135,180,0.853553,1,1,1,0.0118924194,0.000565060903
7,1,0,180,90,1,0.5,1,1,0.0108567652,0.000438722429
7,1,0,180,135,1,0.853553,1,1,0.0120799277,0.000444261615
7,1,0,180,180,1,1,1,1,0.0126913803,0.000596124453
8,1,0,90,90,0.5,0.5,1,1,0.0077786267,0.000474086623
8,1,0,90,135,0.5,0.853553,1,1,0.00859531163,0.000473122909
8,1,0,90,180,0.5,1,1,1,0.00922233326,0.000649899881
8,1,0,135,90,0.853553,0.5,1,1,0.0101346865,0.000621900549
8,1,0,135,135,0.853553,0.853553,1,1,0.0111687321,0.000520959316
8,1,0,135,180,0.853553,1,1,1,0.0120057157,0.000592892873
8,1,0,180,90,1,0.5,1,1,0.010134976,0.000632573285
8,1,0,180,135,1,0.853553,1,1,0.0113764098,0.000458903119
8,1,0,180,180,1,1,1,1,0.0123952079,0.000593177126
9,1,0,90,90,0.5,0.5,1,1,0.00814518272,0.000435071661
9,1,0,90,135,0.5,0.853553,1,1,0.00885770724,0.000477857355
9,1,0,90,180,0.5,1,1,1,0.00909903271,0.000425673154
9,1,0,135,90,0.853553,0.5,1,1,0.0108427721,0.000522982721
9,1,0,135,135,0.853553,0.853553,1,1,0.0112594142,0.000509749497
9,1,0,135,180,0.853553,1,1,1,0.0117015013,0.000717059238
9,1,0,180,90,1,0.5,1,1,0.0107136812,0.000556024733
9,1,0,180,135,1,0.853553,1,1,0.0117041391,0.000449966032
9,1,0,180,180,1,1,1,1,0.012094918,0.000625343229
# dark_v,0.000259037708
